name,method,nRF_distance,b_corr,taxa_count,seq_len
HKY_high_35_50_NJ,NJ,0.9697,-0.1934,35.0,125.0
HKY_high_35_50_UPGMA,UPGMA,0.9697,-0.2972,35.0,125.0
HKY_high_35_500_ML,ML,0.9697,-0.0649,35.0,1046.0
HKY_high_35_500_NJ,NJ,0.9697,0.4251,35.0,1046.0
HKY_high_35_500_UPGMA,UPGMA,0.9697,0.4399,35.0,1046.0
HKY_high_50_100_ML,ML,0.9792,0.087,50.0,241.0
HKY_high_50_100_MP,MP,0.9792,-0.0048,50.0,241.0
HKY_high_50_100_NJ,NJ,0.9792,-0.0048,50.0,241.0
HKY_high_50_100_UPGMA,UPGMA,0.9792,-0.0187,50.0,241.0
HKY_high_50_1000_ML,ML,0.9583,0.0051,50.0,2492.0
HKY_high_50_1000_MP,MP,0.9792,-0.0896,50.0,2492.0
HKY_high_50_1000_NJ,NJ,0.9792,-0.0896,50.0,2492.0
HKY_high_50_1000_UPGMA,UPGMA,0.9583,0.0887,50.0,2492.0
HKY_high_50_250_ML,ML,0.9792,-0.0653,50.0,602.0
HKY_high_50_250_MP,MP,0.9792,-0.0974,50.0,602.0
HKY_high_50_250_NJ,NJ,0.9792,-0.0974,50.0,602.0
HKY_high_50_250_UPGMA,UPGMA,0.9792,-0.0624,50.0,602.0
HKY_high_50_2500_MP,MP,0.9792,0.0932,50.0,6230.0
HKY_high_50_50_ML,ML,0.9792,0.1232,50.0,153.0
HKY_high_50_50_MP,MP,0.9792,0.0124,50.0,153.0
HKY_high_50_50_NJ,NJ,0.9792,0.0124,50.0,153.0
HKY_high_50_50_UPGMA,UPGMA,0.9792,-0.0467,50.0,153.0
HKY_high_50_500_ML,ML,0.9792,0.2175,50.0,1279.0
HKY_high_50_500_MP,MP,0.9375,0.1144,50.0,1279.0
HKY_high_50_500_NJ,NJ,0.9375,0.1144,50.0,1279.0
HKY_high_50_500_UPGMA,UPGMA,0.9375,0.1111,50.0,1279.0
HKY_high_75_100_ML,ML,0.9863,0.1351,75.0,310.0
HKY_high_75_100_NJ,NJ,0.9863,0.2657,75.0,310.0
HKY_high_75_100_UPGMA,UPGMA,0.9863,0.3364,75.0,310.0
HKY_high_75_1000_ML,ML,0.9863,-0.1083,75.0,3252.0
HKY_high_75_1000_NJ,NJ,0.9863,-0.0537,75.0,3252.0
HKY_high_75_1000_UPGMA,UPGMA,0.9863,-0.0352,75.0,3252.0
HKY_high_75_2000_ML,ML,0.9726,0.0455,75.0,6457.0
HKY_high_75_2000_NJ,NJ,0.9589,0.005,75.0,6457.0
HKY_high_75_2000_UPGMA,UPGMA,0.9589,0.0079,75.0,6457.0
HKY_high_75_250_ML,ML,0.9863,0.1644,75.0,864.0
HKY_high_75_250_NJ,NJ,0.9863,-0.0264,75.0,864.0
HKY_high_75_250_UPGMA,UPGMA,0.9863,0.0231,75.0,864.0
HKY_high_75_50_ML,ML,0.9589,-0.0769,75.0,143.0
HKY_high_75_50_NJ,NJ,0.9863,-0.0463,75.0,143.0
HKY_high_75_50_UPGMA,UPGMA,0.9863,-0.0731,75.0,143.0
HKY_high_75_500_ML,ML,0.9863,0.1534,75.0,1585.0
HKY_high_75_500_NJ,NJ,0.9726,-0.0942,75.0,1585.0
HKY_high_75_500_UPGMA,UPGMA,0.9726,-0.0881,75.0,1585.0
HKY_low_100_100_ML,ML,0.2959,0.4542,100.0,100.0
HKY_low_100_100_MP,MP,0.102,0.5624,100.0,100.0
HKY_low_100_100_NJ,NJ,0.102,0.5624,100.0,100.0
HKY_low_100_100_UPGMA,UPGMA,0.1429,0.6087,100.0,100.0
HKY_low_100_1000_ML,ML,0.0,0.894,100.0,1000.0
HKY_low_100_1000_NJ,NJ,0.0,0.5824,100.0,1000.0
HKY_low_100_1000_UPGMA,UPGMA,0.0,0.5822,100.0,1000.0
HKY_low_100_250_ML,ML,0.0306,0.8014,100.0,250.0
HKY_low_100_250_MP,MP,0.0306,0.5703,100.0,250.0
HKY_low_100_250_NJ,NJ,0.0306,0.5703,100.0,250.0
HKY_low_100_250_UPGMA,UPGMA,0.0306,0.5747,100.0,250.0
HKY_low_100_50_ML,ML,0.5306,0.3569,100.0,50.0
HKY_low_100_50_MP,MP,0.2959,0.5583,100.0,50.0
HKY_low_100_50_NJ,NJ,0.2959,0.5583,100.0,50.0
HKY_low_100_50_UPGMA,UPGMA,0.3367,0.571,100.0,50.0
HKY_low_100_500_ML,ML,0.0102,0.8356,100.0,500.0
HKY_low_100_500_NJ,NJ,0.0102,0.6101,100.0,500.0
HKY_low_100_500_UPGMA,UPGMA,0.0,0.6081,100.0,500.0
HKY_low_10_100_ML,ML,0.0,0.8879,10.0,100.0
HKY_low_10_100_MP,MP,0.0,0.8779,10.0,100.0
HKY_low_10_100_NJ,NJ,0.0,0.8779,10.0,100.0
HKY_low_10_100_UPGMA,UPGMA,0.0,0.9054,10.0,100.0
HKY_low_10_1000_ML,ML,0.0,0.9634,10.0,1000.0
HKY_low_10_1000_MP,MP,0.0,0.8707,10.0,1000.0
HKY_low_10_1000_NJ,NJ,0.0,0.8707,10.0,1000.0
HKY_low_10_1000_UPGMA,UPGMA,0.0,0.8757,10.0,1000.0
HKY_low_10_250_ML,ML,0.0,0.8369,10.0,250.0
HKY_low_10_250_MP,MP,0.0,0.7754,10.0,250.0
HKY_low_10_250_NJ,NJ,0.0,0.7754,10.0,250.0
HKY_low_10_250_UPGMA,UPGMA,0.0,0.8192,10.0,250.0
HKY_low_10_50_ML,ML,0.125,0.4617,10.0,50.0
HKY_low_10_50_MP,MP,0.125,0.4707,10.0,50.0
HKY_low_10_50_NJ,NJ,0.125,0.4707,10.0,50.0
HKY_low_10_50_UPGMA,UPGMA,0.125,0.6541,10.0,50.0
HKY_low_10_500_ML,ML,0.0,0.9485,10.0,500.0
HKY_low_10_500_MP,MP,0.0,0.8274,10.0,500.0
HKY_low_10_500_NJ,NJ,0.0,0.8274,10.0,500.0
HKY_low_10_500_UPGMA,UPGMA,0.0,0.822,10.0,500.0
HKY_low_20_100_ML,ML,0.1111,0.7887,20.0,100.0
HKY_low_20_100_NJ,NJ,0.0556,0.7604,20.0,100.0
HKY_low_20_100_UPGMA,UPGMA,0.0,0.7688,20.0,100.0
HKY_low_20_1000_ML,ML,0.0,0.9561,20.0,1000.0
HKY_low_20_1000_NJ,NJ,0.0,0.8649,20.0,1000.0
HKY_low_20_1000_UPGMA,UPGMA,0.0,0.8691,20.0,1000.0
HKY_low_20_2000_ML,ML,0.0,0.9749,20.0,2000.0
HKY_low_20_2000_NJ,NJ,0.0,0.8608,20.0,2000.0
HKY_low_20_2000_UPGMA,UPGMA,0.0,0.8621,20.0,2000.0
HKY_low_20_250_ML,ML,0.0,0.8108,20.0,250.0
HKY_low_20_250_NJ,NJ,0.0,0.8028,20.0,250.0
HKY_low_20_250_UPGMA,UPGMA,0.0,0.8099,20.0,250.0
HKY_low_20_50_ML,ML,0.1111,0.7465,20.0,50.0
HKY_low_20_50_NJ,NJ,0.1667,0.6909,20.0,50.0
HKY_low_20_50_UPGMA,UPGMA,0.1667,0.7408,20.0,50.0
HKY_low_20_500_ML,ML,0.0,0.9241,20.0,500.0
HKY_low_20_500_NJ,NJ,0.0,0.8749,20.0,500.0
HKY_low_20_500_UPGMA,UPGMA,0.0,0.8838,20.0,500.0
HKY_low_250_100_ML,ML,0.7056,-0.0006,250.0,100.0
HKY_low_250_100_NJ,NJ,0.5444,0.1126,250.0,100.0
HKY_low_250_100_UPGMA,UPGMA,0.5444,0.1166,250.0,100.0
HKY_low_250_250_ML,ML,0.5605,0.1164,250.0,250.0
HKY_low_250_250_NJ,NJ,0.4073,0.1524,250.0,250.0
HKY_low_250_250_UPGMA,UPGMA,0.4073,0.1532,250.0,250.0
HKY_low_250_50_ML,ML,0.8911,0.0794,250.0,50.0
HKY_low_250_50_NJ,NJ,0.7621,0.0908,250.0,50.0
HKY_low_250_50_UPGMA,UPGMA,0.7621,0.0889,250.0,50.0
HKY_low_35_100_ML,ML,0.0,0.7331,35.0,100.0
HKY_low_35_100_NJ,NJ,0.0606,0.7209,35.0,100.0
HKY_low_35_100_UPGMA,UPGMA,0.0303,0.7582,35.0,100.0
HKY_low_35_1000_ML,ML,0.0,0.9647,35.0,1000.0
HKY_low_35_1000_NJ,NJ,0.0,0.8998,35.0,1000.0
HKY_low_35_1000_UPGMA,UPGMA,0.0,0.9081,35.0,1000.0
HKY_low_35_2000_ML,ML,0.0,0.9785,35.0,2000.0
HKY_low_35_2000_NJ,NJ,0.0,0.926,35.0,2000.0
HKY_low_35_2000_UPGMA,UPGMA,0.0,0.9291,35.0,2000.0
HKY_low_35_250_ML,ML,0.0,0.8713,35.0,250.0
HKY_low_35_250_NJ,NJ,0.0,0.8478,35.0,250.0
HKY_low_35_250_UPGMA,UPGMA,0.0,0.8562,35.0,250.0
HKY_low_35_50_ML,ML,0.2727,0.4461,35.0,50.0
HKY_low_35_50_NJ,NJ,0.1818,0.5576,35.0,50.0
HKY_low_35_50_UPGMA,UPGMA,0.3636,0.5702,35.0,50.0
HKY_low_35_500_ML,ML,0.0,0.9142,35.0,500.0
HKY_low_35_500_NJ,NJ,0.0,0.9007,35.0,500.0
HKY_low_35_500_UPGMA,UPGMA,0.0,0.904,35.0,500.0
HKY_low_500_50_ML,ML,0.994,-0.0599,500.0,50.0
HKY_low_500_50_NJ,NJ,0.988,0.0622,500.0,50.0
HKY_low_500_50_UPGMA,UPGMA,0.988,0.0621,500.0,50.0
HKY_low_50_100_ML,ML,0.0417,0.4913,50.0,100.0
HKY_low_50_100_MP,MP,0.0833,0.573,50.0,100.0
HKY_low_50_100_NJ,NJ,0.0833,0.573,50.0,100.0
HKY_low_50_100_UPGMA,UPGMA,0.0417,0.6643,50.0,100.0
HKY_low_50_1000_ML,ML,0.0,0.9335,50.0,1000.0
HKY_low_50_1000_MP,MP,0.0,0.6557,50.0,1000.0
HKY_low_50_1000_NJ,NJ,0.0,0.6557,50.0,1000.0
HKY_low_50_1000_UPGMA,UPGMA,0.0,0.658,50.0,1000.0
HKY_low_50_250_ML,ML,0.0208,0.6885,50.0,250.0
HKY_low_50_250_MP,MP,0.0,0.6739,50.0,250.0
HKY_low_50_250_NJ,NJ,0.0,0.6739,50.0,250.0
HKY_low_50_250_UPGMA,UPGMA,0.0,0.686,50.0,250.0
HKY_low_50_50_ML,ML,0.2083,0.5817,50.0,50.0
HKY_low_50_50_MP,MP,0.1458,0.5495,50.0,50.0
HKY_low_50_50_NJ,NJ,0.1458,0.5495,50.0,50.0
HKY_low_50_50_UPGMA,UPGMA,0.1875,0.5299,50.0,50.0
HKY_low_50_500_ML,ML,0.0,0.8822,50.0,500.0
HKY_low_50_500_MP,MP,0.0,0.7217,50.0,500.0
HKY_low_50_500_NJ,NJ,0.0,0.7217,50.0,500.0
HKY_low_50_500_UPGMA,UPGMA,0.0,0.7201,50.0,500.0
HKY_low_75_100_ML,ML,0.5068,0.6183,75.0,100.0
HKY_low_75_100_NJ,NJ,0.2192,0.6726,75.0,100.0
HKY_low_75_100_UPGMA,UPGMA,0.2603,0.6685,75.0,100.0
HKY_low_75_1000_ML,ML,0.0,0.9509,75.0,1000.0
HKY_low_75_1000_NJ,NJ,0.0,0.7254,75.0,1000.0
HKY_low_75_1000_UPGMA,UPGMA,0.0,0.7254,75.0,1000.0
HKY_low_75_2000_ML,ML,0.0,0.9653,75.0,2000.0
HKY_low_75_2000_NJ,NJ,0.0,0.7881,75.0,2000.0
HKY_low_75_2000_UPGMA,UPGMA,0.0,0.7883,75.0,2000.0
HKY_low_75_250_ML,ML,0.0548,0.8111,75.0,250.0
HKY_low_75_250_NJ,NJ,0.0137,0.7372,75.0,250.0
HKY_low_75_250_UPGMA,UPGMA,0.0274,0.7387,75.0,250.0
HKY_low_75_50_ML,ML,0.589,0.4132,75.0,50.0
HKY_low_75_50_NJ,NJ,0.3425,0.6065,75.0,50.0
HKY_low_75_50_UPGMA,UPGMA,0.4247,0.6397,75.0,50.0
HKY_low_75_500_ML,ML,0.0274,0.9075,75.0,500.0
HKY_low_75_500_NJ,NJ,0.0,0.7661,75.0,500.0
HKY_low_75_500_UPGMA,UPGMA,0.0,0.7653,75.0,500.0
JC_high_100_100_ML,ML,0.9898,0.0027,100.0,430.0
JC_high_100_100_MP,MP,0.9898,0.1161,100.0,430.0
JC_high_100_100_NJ,NJ,0.9898,0.1161,100.0,430.0
JC_high_100_100_UPGMA,UPGMA,0.9898,0.02,100.0,430.0
JC_high_100_250_ML,ML,0.9898,0.0447,100.0,934.0
JC_high_100_250_MP,MP,0.9898,-0.0664,100.0,934.0
JC_high_100_250_NJ,NJ,0.9898,-0.0664,100.0,934.0
JC_high_100_250_UPGMA,UPGMA,0.9898,-0.0544,100.0,934.0
JC_high_100_50_ML,ML,0.9898,-0.0284,100.0,233.0
JC_high_100_50_MP,MP,0.9898,-0.0147,100.0,233.0
JC_high_100_50_NJ,NJ,0.9898,-0.0147,100.0,233.0
JC_high_100_50_UPGMA,UPGMA,0.9898,-0.0141,100.0,233.0
JC_high_100_500_ML,ML,0.9898,-0.0434,100.0,1995.0
JC_high_100_500_MP,MP,0.9898,-0.0121,100.0,1995.0
JC_high_100_500_NJ,NJ,0.9898,-0.0121,100.0,1995.0
JC_high_100_500_UPGMA,UPGMA,0.9898,-0.0514,100.0,1995.0
JC_high_10_100_ML,ML,0.875,0.0459,10.0,164.0
JC_high_10_100_MP,MP,0.875,0.05,10.0,164.0
JC_high_10_100_NJ,NJ,0.875,0.05,10.0,164.0
JC_high_10_100_UPGMA,UPGMA,0.875,0.0117,10.0,164.0
JC_high_10_1000_ML,ML,0.875,-0.2231,10.0,1360.0
JC_high_10_1000_MP,MP,0.75,0.3361,10.0,1360.0
JC_high_10_1000_NJ,NJ,0.75,0.3361,10.0,1360.0
JC_high_10_1000_UPGMA,UPGMA,0.75,0.3453,10.0,1360.0
JC_high_10_250_ML,ML,0.875,0.3537,10.0,344.0
JC_high_10_250_MP,MP,0.875,0.4551,10.0,344.0
JC_high_10_250_NJ,NJ,0.875,0.4551,10.0,344.0
JC_high_10_250_UPGMA,UPGMA,0.875,0.4582,10.0,344.0
JC_high_10_50_ML,ML,0.75,0.2164,10.0,57.0
JC_high_10_50_MP,MP,0.75,-0.2925,10.0,57.0
JC_high_10_50_NJ,NJ,0.75,-0.2925,10.0,57.0
JC_high_10_50_UPGMA,UPGMA,0.875,-0.1097,10.0,57.0
JC_high_10_500_ML,ML,0.75,-0.4875,10.0,662.0
JC_high_10_500_MP,MP,0.75,0.1589,10.0,662.0
JC_high_10_500_NJ,NJ,0.75,0.1589,10.0,662.0
JC_high_10_500_UPGMA,UPGMA,0.75,0.1502,10.0,662.0
JC_high_20_100_ML,ML,0.9444,0.2522,20.0,159.0
JC_high_20_100_NJ,NJ,0.9444,0.3607,20.0,159.0
JC_high_20_100_UPGMA,UPGMA,0.9444,0.4272,20.0,159.0
JC_high_20_1000_ML,ML,0.9444,0.0715,20.0,1637.0
JC_high_20_1000_NJ,NJ,0.8889,0.1775,20.0,1637.0
JC_high_20_1000_UPGMA,UPGMA,0.9444,0.3713,20.0,1637.0
JC_high_20_2000_ML,ML,0.9444,-0.2884,20.0,3344.0
JC_high_20_2000_NJ,NJ,0.8889,0.2624,20.0,3344.0
JC_high_20_2000_UPGMA,UPGMA,0.8889,0.2674,20.0,3344.0
JC_high_20_250_ML,ML,0.9444,0.0062,20.0,441.0
JC_high_20_250_NJ,NJ,0.7778,0.2709,20.0,441.0
JC_high_20_250_UPGMA,UPGMA,0.8333,0.2379,20.0,441.0
JC_high_20_50_ML,ML,0.8889,-0.0007,20.0,67.0
JC_high_20_50_NJ,NJ,0.8889,0.124,20.0,67.0
JC_high_20_50_UPGMA,UPGMA,0.8889,0.1021,20.0,67.0
JC_high_20_500_ML,ML,0.8889,-0.242,20.0,831.0
JC_high_20_500_NJ,NJ,0.8333,0.1891,20.0,831.0
JC_high_20_500_UPGMA,UPGMA,0.8889,0.1024,20.0,831.0
JC_high_250_100_ML,ML,0.996,0.0072,250.0,1370.0
JC_high_250_100_NJ,NJ,0.996,0.0294,250.0,1370.0
JC_high_250_100_UPGMA,UPGMA,0.996,0.0238,250.0,1370.0
JC_high_35_100_ML,ML,0.9697,0.1703,35.0,209.0
JC_high_35_100_NJ,NJ,0.9697,0.0124,35.0,209.0
JC_high_35_100_UPGMA,UPGMA,0.9697,0.0457,35.0,209.0
JC_high_35_1000_ML,ML,0.9697,0.3102,35.0,2073.0
JC_high_35_1000_NJ,NJ,0.9697,0.3511,35.0,2073.0
JC_high_35_1000_UPGMA,UPGMA,0.9697,0.294,35.0,2073.0
JC_high_35_2000_ML,ML,0.9697,0.1445,35.0,4062.0
JC_high_35_2000_NJ,NJ,0.9394,0.1576,35.0,4062.0
JC_high_35_2000_UPGMA,UPGMA,0.9394,0.1605,35.0,4062.0
JC_high_35_250_ML,ML,0.9394,0.346,35.0,559.0
JC_high_35_250_NJ,NJ,0.9394,0.1138,35.0,559.0
JC_high_35_250_UPGMA,UPGMA,0.9394,0.1195,35.0,559.0
JC_high_35_50_ML,ML,0.9697,0.0442,35.0,94.0
JC_high_35_50_NJ,NJ,0.9697,-0.2309,35.0,94.0
JC_high_35_50_UPGMA,UPGMA,0.9697,-0.1438,35.0,94.0
JC_high_35_500_ML,ML,0.9697,0.407,35.0,989.0
JC_high_35_500_NJ,NJ,0.9697,0.0992,35.0,989.0
JC_high_35_500_UPGMA,UPGMA,0.9697,0.0565,35.0,989.0
JC_high_50_100_ML,ML,0.9792,0.113,50.0,285.0
JC_high_50_100_MP,MP,0.9792,-0.2402,50.0,285.0
JC_high_50_100_NJ,NJ,0.9792,-0.2402,50.0,285.0
JC_high_50_100_UPGMA,UPGMA,0.9792,-0.2075,50.0,285.0
JC_high_50_1000_ML,ML,0.9792,-0.0699,50.0,2409.0
JC_high_50_1000_MP,MP,0.9583,0.0915,50.0,2409.0
JC_high_50_1000_NJ,NJ,0.9583,0.0915,50.0,2409.0
JC_high_50_1000_UPGMA,UPGMA,0.9583,0.0945,50.0,2409.0
JC_high_50_250_ML,ML,0.9792,0.0174,50.0,584.0
JC_high_50_250_MP,MP,0.9583,0.0478,50.0,584.0
JC_high_50_250_NJ,NJ,0.9583,0.0478,50.0,584.0
JC_high_50_250_UPGMA,UPGMA,0.9583,0.055,50.0,584.0
JC_high_50_50_ML,ML,0.9792,-0.016,50.0,174.0
JC_high_50_50_MP,MP,0.9792,0.0904,50.0,174.0
JC_high_50_50_NJ,NJ,0.9792,0.0904,50.0,174.0
JC_high_50_50_UPGMA,UPGMA,0.9792,0.2142,50.0,174.0
JC_high_50_500_ML,ML,0.9792,0.0462,50.0,1217.0
JC_high_50_500_MP,MP,0.9375,0.0703,50.0,1217.0
JC_high_50_500_NJ,NJ,0.9375,0.0703,50.0,1217.0
JC_high_50_500_UPGMA,UPGMA,0.9583,0.0486,50.0,1217.0
JC_high_75_100_ML,ML,0.9863,-0.1111,75.0,298.0
JC_high_75_100_NJ,NJ,0.9726,-0.1157,75.0,298.0
JC_high_75_100_UPGMA,UPGMA,0.9726,-0.1334,75.0,298.0
JC_high_75_1000_ML,ML,0.9863,-0.0112,75.0,3238.0
JC_high_75_1000_NJ,NJ,0.9863,0.0318,75.0,3238.0
JC_high_75_1000_UPGMA,UPGMA,0.9863,-0.0221,75.0,3238.0
JC_high_75_2000_ML,ML,0.9863,0.291,75.0,6157.0
JC_high_75_2000_NJ,NJ,0.9726,0.0956,75.0,6157.0
JC_high_75_2000_UPGMA,UPGMA,0.9726,0.0949,75.0,6157.0
JC_high_75_250_ML,ML,0.9863,-0.1879,75.0,831.0
JC_high_75_250_NJ,NJ,0.9863,0.0407,75.0,831.0
JC_high_75_250_UPGMA,UPGMA,0.9863,0.0921,75.0,831.0
JC_high_75_50_ML,ML,0.9863,0.0848,75.0,199.0
JC_high_75_50_NJ,NJ,0.9863,0.1148,75.0,199.0
JC_high_75_50_UPGMA,UPGMA,0.9863,0.0658,75.0,199.0
JC_high_75_500_ML,ML,0.9863,0.2106,75.0,1594.0
JC_high_75_500_NJ,NJ,0.9726,-0.0632,75.0,1594.0
JC_high_75_500_UPGMA,UPGMA,0.9726,-0.0806,75.0,1594.0
JC_low_100_100_ML,ML,0.0204,0.5785,100.0,100.0
JC_low_100_100_MP,MP,0.0204,0.6543,100.0,100.0
JC_low_100_100_NJ,NJ,0.0204,0.6543,100.0,100.0
JC_low_100_100_UPGMA,UPGMA,0.051,0.6619,100.0,100.0
JC_low_100_250_ML,ML,0.0,0.7987,100.0,250.0
JC_low_100_250_MP,MP,0.0,0.7255,100.0,250.0
JC_low_100_250_NJ,NJ,0.0,0.7256,100.0,250.0
JC_low_100_250_UPGMA,UPGMA,0.0,0.731,100.0,250.0
JC_low_100_50_ML,ML,0.1735,0.3815,100.0,50.0
JC_low_100_50_MP,MP,0.051,0.5392,100.0,50.0
JC_low_100_50_NJ,NJ,0.051,0.5392,100.0,50.0
JC_low_100_50_UPGMA,UPGMA,0.0816,0.5359,100.0,50.0
JC_low_100_500_ML,ML,0.0,0.8575,100.0,500.0
JC_low_100_500_MP,MP,0.0,0.7394,100.0,500.0
JC_low_100_500_NJ,NJ,0.0,0.7394,100.0,500.0
JC_low_100_500_UPGMA,UPGMA,0.0,0.7409,100.0,500.0
JC_low_10_100_ML,ML,0.0,0.8235,10.0,100.0
JC_low_10_100_MP,MP,0.0,0.8421,10.0,100.0
JC_low_10_100_NJ,NJ,0.0,0.8421,10.0,100.0
JC_low_10_100_UPGMA,UPGMA,0.0,0.9098,10.0,100.0
JC_low_10_1000_ML,ML,0.0,0.8958,10.0,1000.0
JC_low_10_1000_MP,MP,0.0,0.8841,10.0,1000.0
JC_low_10_1000_NJ,NJ,0.0,0.8841,10.0,1000.0
JC_low_10_1000_UPGMA,UPGMA,0.0,0.9078,10.0,1000.0
JC_low_10_250_ML,ML,0.125,0.8802,10.0,250.0
JC_low_10_250_MP,MP,0.0,0.7979,10.0,250.0
JC_low_10_250_NJ,NJ,0.0,0.798,10.0,250.0
JC_low_10_250_UPGMA,UPGMA,0.0,0.8816,10.0,250.0
JC_low_10_50_ML,ML,0.125,0.5311,10.0,50.0
JC_low_10_50_MP,MP,0.125,0.379,10.0,50.0
JC_low_10_50_NJ,NJ,0.125,0.379,10.0,50.0
