name,method,nRF_distance,p_corr
HKY_high_75_250_NJ,NJ,0.9863,0.0182
HKY_high_75_250_UPGMA,UPGMA,0.9863,0.0068
HKY_high_75_50_ML,ML,0.9589,0.0208
HKY_high_75_50_NJ,NJ,0.9863,-0.0082
HKY_high_75_50_UPGMA,UPGMA,0.9863,-0.0151
HKY_high_75_500_ML,ML,0.9863,0.0194
HKY_high_75_500_NJ,NJ,0.9726,-0.0412
HKY_high_75_500_UPGMA,UPGMA,0.9726,0.0079
HKY_low_100_100_ML,ML,0.2959,0.4725
HKY_low_100_100_MP,MP,0.102,0.7891
HKY_low_100_100_NJ,NJ,0.102,0.7891
HKY_low_100_100_UPGMA,UPGMA,0.1429,0.7766
HKY_low_100_1000_ML,ML,0.0,0.9738
HKY_low_100_1000_NJ,NJ,0.0,0.8402
HKY_low_100_1000_UPGMA,UPGMA,0.0,0.846
HKY_low_100_250_ML,ML,0.0306,0.9213
HKY_low_100_250_MP,MP,0.0306,0.811
HKY_low_100_250_NJ,NJ,0.0306,0.811
HKY_low_100_250_UPGMA,UPGMA,0.0306,0.8265
HKY_low_100_50_ML,ML,0.5306,0.5598
HKY_low_100_50_MP,MP,0.2959,0.6671
HKY_low_100_50_NJ,NJ,0.2959,0.6671
HKY_low_100_50_UPGMA,UPGMA,0.3367,0.703
HKY_low_100_500_ML,ML,0.0102,0.9372
HKY_low_100_500_NJ,NJ,0.0102,0.8127
HKY_low_100_500_UPGMA,UPGMA,0.0,0.8257
HKY_low_10_100_ML,ML,0.0,0.9578
HKY_low_10_100_MP,MP,0.0,0.9568
HKY_low_10_100_NJ,NJ,0.0,0.9568
HKY_low_10_100_UPGMA,UPGMA,0.0,0.9736
HKY_low_10_1000_ML,ML,0.0,0.9932
HKY_low_10_1000_MP,MP,0.0,0.9937
HKY_low_10_1000_NJ,NJ,0.0,0.9937
HKY_low_10_1000_UPGMA,UPGMA,0.0,0.9962
HKY_low_10_250_ML,ML,0.0,0.9542
HKY_low_10_250_MP,MP,0.0,0.9489
HKY_low_10_250_NJ,NJ,0.0,0.9489
HKY_low_10_250_UPGMA,UPGMA,0.0,0.9782
HKY_low_10_50_ML,ML,0.125,0.8443
HKY_low_10_50_MP,MP,0.125,0.8464
HKY_low_10_50_NJ,NJ,0.125,0.8464
HKY_low_10_50_UPGMA,UPGMA,0.125,0.9537
HKY_low_10_500_ML,ML,0.0,0.9797
HKY_low_10_500_MP,MP,0.0,0.9795
HKY_low_10_500_NJ,NJ,0.0,0.9795
HKY_low_10_500_UPGMA,UPGMA,0.0,0.9868
HKY_low_20_100_ML,ML,0.1111,0.8094
HKY_low_20_100_NJ,NJ,0.0556,0.8779
HKY_low_20_100_UPGMA,UPGMA,0.0,0.9411
HKY_low_20_1000_ML,ML,0.0,0.9856
HKY_low_20_1000_NJ,NJ,0.0,0.9783
HKY_low_20_1000_UPGMA,UPGMA,0.0,0.9865
HKY_low_20_2000_ML,ML,0.0,0.9947
HKY_low_20_2000_NJ,NJ,0.0,0.9873
HKY_low_20_2000_UPGMA,UPGMA,0.0,0.9917
HKY_low_20_250_ML,ML,0.0,0.9345
HKY_low_20_250_NJ,NJ,0.0,0.9529
HKY_low_20_250_UPGMA,UPGMA,0.0,0.9719
HKY_low_20_50_ML,ML,0.1111,0.8794
HKY_low_20_50_NJ,NJ,0.1667,0.8733
HKY_low_20_50_UPGMA,UPGMA,0.1667,0.9257
HKY_low_20_500_ML,ML,0.0,0.9805
HKY_low_20_500_NJ,NJ,0.0,0.9738
HKY_low_20_500_UPGMA,UPGMA,0.0,0.9904
HKY_low_250_100_ML,ML,0.7056,0.0341
HKY_low_250_100_NJ,NJ,0.5444,0.1926
HKY_low_250_100_UPGMA,UPGMA,0.5444,0.2357
HKY_low_250_250_ML,ML,0.5605,0.0795
HKY_low_250_250_NJ,NJ,0.4073,0.2718
HKY_low_250_250_UPGMA,UPGMA,0.4073,0.3072
HKY_low_250_50_ML,ML,0.8911,0.0181
HKY_low_250_50_NJ,NJ,0.7621,0.0934
HKY_low_250_50_UPGMA,UPGMA,0.7621,0.1167
HKY_low_35_100_ML,ML,0.0,0.9188
