name,method,nRF_distance,b_corr,taxa_count,seq_len,p_corr
JC_high_50_500_MP,MP,0.9375,0.0703,50.0,1217.0,-0.014
JC_high_50_500_NJ,NJ,0.9375,0.0703,50.0,1217.0,-0.014
JC_high_50_500_UPGMA,UPGMA,0.9583,0.0486,50.0,1217.0,-0.004
JC_high_75_100_ML,ML,0.9863,-0.1111,75.0,298.0,0.0049
JC_high_75_100_NJ,NJ,0.9726,-0.1157,75.0,298.0,-0.0223
JC_high_75_100_UPGMA,UPGMA,0.9726,-0.1334,75.0,298.0,0.0124
JC_high_75_1000_ML,ML,0.9863,-0.0112,75.0,3238.0,0.0033
JC_high_75_1000_NJ,NJ,0.9863,0.0318,75.0,3238.0,0.0033
JC_high_75_1000_UPGMA,UPGMA,0.9863,-0.0221,75.0,3238.0,0.0052
JC_high_75_2000_ML,ML,0.9863,0.291,75.0,6157.0,-0.0099
JC_high_75_2000_NJ,NJ,0.9726,0.0956,75.0,6157.0,-0.0118
JC_high_75_2000_UPGMA,UPGMA,0.9726,0.0949,75.0,6157.0,-0.0149
JC_high_75_250_ML,ML,0.9863,-0.1879,75.0,831.0,-0.0363
JC_high_75_250_NJ,NJ,0.9863,0.0407,75.0,831.0,-0.0008
JC_high_75_250_UPGMA,UPGMA,0.9863,0.0921,75.0,831.0,-0.0016
JC_high_75_50_ML,ML,0.9863,0.0848,75.0,199.0,-0.0048
JC_high_75_50_NJ,NJ,0.9863,0.1148,75.0,199.0,-0.0131
JC_high_75_50_UPGMA,UPGMA,0.9863,0.0658,75.0,199.0,-0.0096
JC_high_75_500_ML,ML,0.9863,0.2106,75.0,1594.0,0.0564
JC_high_75_500_NJ,NJ,0.9726,-0.0632,75.0,1594.0,0.0312
JC_high_75_500_UPGMA,UPGMA,0.9726,-0.0806,75.0,1594.0,0.0268
JC_low_100_100_ML,ML,0.0204,0.5785,100.0,100.0,0.8745
JC_low_100_100_MP,MP,0.0204,0.6543,100.0,100.0,0.8559
JC_low_100_100_NJ,NJ,0.0204,0.6543,100.0,100.0,0.8559
JC_low_100_100_UPGMA,UPGMA,0.051,0.6619,100.0,100.0,0.9255
JC_low_100_250_ML,ML,0.0,0.7987,100.0,250.0,0.9439
JC_low_100_250_MP,MP,0.0,0.7255,100.0,250.0,0.9188
JC_low_100_250_NJ,NJ,0.0,0.7256,100.0,250.0,0.9188
JC_low_100_250_UPGMA,UPGMA,0.0,0.731,100.0,250.0,0.9507
JC_low_100_50_ML,ML,0.1735,0.3815,100.0,50.0,0.6397
JC_low_100_50_MP,MP,0.051,0.5392,100.0,50.0,0.8135
JC_low_100_50_NJ,NJ,0.051,0.5392,100.0,50.0,0.8135
JC_low_100_50_UPGMA,UPGMA,0.0816,0.5359,100.0,50.0,0.8782
JC_low_100_500_ML,ML,0.0,0.8575,100.0,500.0,0.975
JC_low_100_500_MP,MP,0.0,0.7394,100.0,500.0,0.9314
JC_low_100_500_NJ,NJ,0.0,0.7394,100.0,500.0,0.9314
JC_low_100_500_UPGMA,UPGMA,0.0,0.7409,100.0,500.0,0.9462
JC_low_10_100_ML,ML,0.0,0.8235,10.0,100.0,0.9253
JC_low_10_100_MP,MP,0.0,0.8421,10.0,100.0,0.9188
JC_low_10_100_NJ,NJ,0.0,0.8421,10.0,100.0,0.9188
JC_low_10_100_UPGMA,UPGMA,0.0,0.9098,10.0,100.0,0.9823
JC_low_10_1000_ML,ML,0.0,0.8958,10.0,1000.0,0.9594
JC_low_10_1000_MP,MP,0.0,0.8841,10.0,1000.0,0.9617
JC_low_10_1000_NJ,NJ,0.0,0.8841,10.0,1000.0,0.9617
JC_low_10_1000_UPGMA,UPGMA,0.0,0.9078,10.0,1000.0,0.9944
JC_low_10_250_ML,ML,0.125,0.8802,10.0,250.0,0.9436
JC_low_10_250_MP,MP,0.0,0.7979,10.0,250.0,0.9341
JC_low_10_250_NJ,NJ,0.0,0.798,10.0,250.0,0.9341
JC_low_10_250_UPGMA,UPGMA,0.0,0.8816,10.0,250.0,0.9707
JC_low_10_50_ML,ML,0.125,0.5311,10.0,50.0,0.8798
JC_low_10_50_MP,MP,0.125,0.379,10.0,50.0,0.7774
JC_low_10_50_NJ,NJ,0.125,0.379,10.0,50.0,0.7774
JC_low_10_50_UPGMA,UPGMA,0.25,0.6161,10.0,50.0,0.9223
JC_low_10_500_ML,ML,0.0,0.9173,10.0,500.0,0.9833
JC_low_10_500_MP,MP,0.0,0.8944,10.0,500.0,0.9847
JC_low_10_500_NJ,NJ,0.0,0.8944,10.0,500.0,0.9847
JC_low_10_500_UPGMA,UPGMA,0.0,0.9224,10.0,500.0,0.9926
JC_low_20_100_ML,ML,0.1111,0.7541,20.0,100.0,0.8448
JC_low_20_100_NJ,NJ,0.1111,0.7779,20.0,100.0,0.8697
JC_low_20_100_UPGMA,UPGMA,0.1111,0.7993,20.0,100.0,0.9306
JC_low_20_1000_ML,ML,0.0,0.9051,20.0,1000.0,0.9669
JC_low_20_1000_NJ,NJ,0.0,0.8907,20.0,1000.0,0.9725
JC_low_20_1000_UPGMA,UPGMA,0.0,0.9126,20.0,1000.0,0.986
JC_low_20_2000_ML,ML,0.0,0.9696,20.0,2000.0,0.9899
JC_low_20_2000_NJ,NJ,0.0,0.9402,20.0,2000.0,0.9896
JC_low_20_2000_UPGMA,UPGMA,0.0,0.9467,20.0,2000.0,0.996
JC_low_20_250_ML,ML,0.0,0.7931,20.0,250.0,0.9286
JC_low_20_250_NJ,NJ,0.0,0.817,20.0,250.0,0.9281
JC_low_20_250_UPGMA,UPGMA,0.0556,0.8799,20.0,250.0,0.986
JC_low_20_50_ML,ML,0.1111,0.243,20.0,50.0,0.67
JC_low_20_50_NJ,NJ,0.0556,0.2932,20.0,50.0,0.576
JC_low_20_50_UPGMA,UPGMA,0.3889,0.4752,20.0,50.0,0.6188
JC_low_20_500_ML,ML,0.0,0.8511,20.0,500.0,0.9802
JC_low_20_500_NJ,NJ,0.0,0.797,20.0,500.0,0.972
JC_low_20_500_UPGMA,UPGMA,0.0,0.818,20.0,500.0,0.9956
JC_low_35_100_ML,ML,0.0606,0.6239,35.0,100.0,0.737
JC_low_35_100_NJ,NJ,0.0909,0.7073,35.0,100.0,0.7282
JC_low_35_100_UPGMA,UPGMA,0.2121,0.7139,35.0,100.0,0.7484
JC_low_35_1000_ML,ML,0.0,0.9426,35.0,1000.0,0.9794
JC_low_35_1000_NJ,NJ,0.0,0.9015,35.0,1000.0,0.9734
JC_low_35_1000_UPGMA,UPGMA,0.0,0.9233,35.0,1000.0,0.9933
JC_low_35_2000_ML,ML,0.0,0.9721,35.0,2000.0,0.9927
JC_low_35_2000_NJ,NJ,0.0,0.9545,35.0,2000.0,0.9881
JC_low_35_2000_UPGMA,UPGMA,0.0,0.9617,35.0,2000.0,0.9958
JC_low_35_250_ML,ML,0.0,0.8334,35.0,250.0,0.9549
JC_low_35_250_NJ,NJ,0.0,0.8787,35.0,250.0,0.9516
JC_low_35_250_UPGMA,UPGMA,0.0,0.9106,35.0,250.0,0.9861
JC_low_35_50_ML,ML,0.0303,0.6098,35.0,50.0,0.7538
JC_low_35_50_NJ,NJ,0.2121,0.6262,35.0,50.0,0.7493
JC_low_35_50_UPGMA,UPGMA,0.4242,0.6813,35.0,50.0,0.8806
JC_low_35_500_ML,ML,0.0,0.9387,35.0,500.0,0.9569
JC_low_35_500_NJ,NJ,0.0,0.9353,35.0,500.0,0.9655
JC_low_35_500_UPGMA,UPGMA,0.0,0.944,35.0,500.0,0.9862
JC_low_50_100_ML,ML,0.0417,0.6513,50.0,100.0,0.8958
JC_low_50_100_MP,MP,0.0417,0.6044,50.0,100.0,0.8547
JC_low_50_100_NJ,NJ,0.0417,0.6043,50.0,100.0,0.8547
JC_low_50_100_UPGMA,UPGMA,0.0833,0.6373,50.0,100.0,0.947
JC_low_50_1000_ML,ML,0.0,0.9221,50.0,1000.0,0.9774
JC_low_50_1000_MP,MP,0.0,0.8303,50.0,1000.0,0.9707
JC_low_50_1000_NJ,NJ,0.0,0.8303,50.0,1000.0,0.9707
JC_low_50_1000_UPGMA,UPGMA,0.0,0.8328,50.0,1000.0,0.9813
JC_low_50_250_ML,ML,0.0,0.7286,50.0,250.0,0.94
JC_low_50_250_MP,MP,0.0,0.7536,50.0,250.0,0.925
JC_low_50_250_NJ,NJ,0.0,0.7536,50.0,250.0,0.925
JC_low_50_250_UPGMA,UPGMA,0.0,0.775,50.0,250.0,0.9636
JC_low_50_50_ML,ML,0.0625,0.3365,50.0,50.0,0.807
JC_low_50_50_MP,MP,0.0625,0.5075,50.0,50.0,0.9082
JC_low_50_50_NJ,NJ,0.0625,0.5075,50.0,50.0,0.9082
JC_low_50_50_UPGMA,UPGMA,0.1042,0.5455,50.0,50.0,0.9522
JC_low_50_500_ML,ML,0.0,0.8024,50.0,500.0,0.9648
JC_low_50_500_MP,MP,0.0,0.8002,50.0,500.0,0.9618
JC_low_50_500_NJ,NJ,0.0,0.8002,50.0,500.0,0.9618
JC_low_50_500_UPGMA,UPGMA,0.0,0.8177,50.0,500.0,0.9892
JC_low_75_100_ML,ML,0.0548,0.7119,75.0,100.0,0.8599
JC_low_75_100_NJ,NJ,0.0274,0.7533,75.0,100.0,0.8629
JC_low_75_100_UPGMA,UPGMA,0.1096,0.7635,75.0,100.0,0.9278
JC_low_75_1000_ML,ML,0.0,0.9622,75.0,1000.0,0.9863
JC_low_75_1000_NJ,NJ,0.0,0.8409,75.0,1000.0,0.9609
JC_low_75_1000_UPGMA,UPGMA,0.0,0.8425,75.0,1000.0,0.9688
JC_low_75_2000_ML,ML,0.0,0.9763,75.0,2000.0,0.9934
JC_low_75_2000_NJ,NJ,0.0,0.8319,75.0,2000.0,0.9598
JC_low_75_2000_UPGMA,UPGMA,0.0,0.8338,75.0,2000.0,0.9632
JC_low_75_250_ML,ML,0.0,0.8173,75.0,250.0,0.9437
JC_low_75_250_NJ,NJ,0.0,0.7725,75.0,250.0,0.9263
JC_low_75_250_UPGMA,UPGMA,0.0,0.7776,75.0,250.0,0.958
JC_low_75_50_ML,ML,0.2466,0.5959,75.0,50.0,0.7132
JC_low_75_50_NJ,NJ,0.1233,0.7438,75.0,50.0,0.8161
JC_low_75_50_UPGMA,UPGMA,0.2055,0.7533,75.0,50.0,0.9297
JC_low_75_500_ML,ML,0.0,0.9335,75.0,500.0,0.9725
JC_low_75_500_NJ,NJ,0.0,0.8608,75.0,500.0,0.9456
JC_low_75_500_UPGMA,UPGMA,0.0,0.8632,75.0,500.0,0.9638
