name,method,nRF_distance,b_corr,taxa_count,seq_len,p_corr
HKY_high_35_500_ML,ML,0.9697,-0.0649,35.0,1046.0,0.0002
HKY_high_35_500_NJ,NJ,0.9697,0.4251,35.0,1046.0,0.0425
HKY_high_35_500_UPGMA,UPGMA,0.9697,0.4399,35.0,1046.0,-0.006
HKY_high_50_100_ML,ML,0.9792,0.087,50.0,241.0,-0.0068
HKY_high_50_100_MP,MP,0.9792,-0.0048,50.0,241.0,-0.0027
HKY_high_50_100_NJ,NJ,0.9792,-0.0048,50.0,241.0,-0.0027
HKY_high_50_100_UPGMA,UPGMA,0.9792,-0.0187,50.0,241.0,-0.0132
HKY_high_50_1000_ML,ML,0.9583,0.0051,50.0,2492.0,0.0408
HKY_high_50_1000_MP,MP,0.9792,-0.0896,50.0,2492.0,-0.0167
HKY_high_50_1000_NJ,NJ,0.9792,-0.0896,50.0,2492.0,-0.0167
HKY_high_50_1000_UPGMA,UPGMA,0.9583,0.0887,50.0,2492.0,0.013
HKY_high_50_250_ML,ML,0.9792,-0.0653,50.0,602.0,0.0083
HKY_high_50_250_MP,MP,0.9792,-0.0974,50.0,602.0,-0.0373
HKY_high_50_250_NJ,NJ,0.9792,-0.0974,50.0,602.0,-0.0373
HKY_high_50_250_UPGMA,UPGMA,0.9792,-0.0624,50.0,602.0,-0.0381
HKY_high_50_2500_MP,MP,0.9792,0.0932,50.0,6230.0,0.0187
HKY_high_50_50_ML,ML,0.9792,0.1232,50.0,153.0,0.0204
HKY_high_50_50_MP,MP,0.9792,0.0124,50.0,153.0,0.0227
HKY_high_50_50_NJ,NJ,0.9792,0.0124,50.0,153.0,0.0227
HKY_high_50_50_UPGMA,UPGMA,0.9792,-0.0467,50.0,153.0,0.0006
HKY_high_50_500_ML,ML,0.9792,0.2175,50.0,1279.0,-0.0106
HKY_high_50_500_MP,MP,0.9375,0.1144,50.0,1279.0,0.015
HKY_high_50_500_NJ,NJ,0.9375,0.1144,50.0,1279.0,0.015
HKY_high_50_500_UPGMA,UPGMA,0.9375,0.1111,50.0,1279.0,-0.0096
HKY_high_75_100_ML,ML,0.9863,0.1351,75.0,310.0,0.0073
HKY_high_75_100_NJ,NJ,0.9863,0.2657,75.0,310.0,-0.0237
HKY_high_75_100_UPGMA,UPGMA,0.9863,0.3364,75.0,310.0,-0.0259
HKY_high_75_1000_ML,ML,0.9863,-0.1083,75.0,3252.0,-0.0061
HKY_high_75_1000_NJ,NJ,0.9863,-0.0537,75.0,3252.0,-0.0323
HKY_high_75_1000_UPGMA,UPGMA,0.9863,-0.0352,75.0,3252.0,-0.0243
HKY_high_75_2000_ML,ML,0.9726,0.0455,75.0,6457.0,0.0013
HKY_high_75_2000_NJ,NJ,0.9589,0.005,75.0,6457.0,0.0138
HKY_high_75_2000_UPGMA,UPGMA,0.9589,0.0079,75.0,6457.0,0.0354
HKY_high_75_250_ML,ML,0.9863,0.1644,75.0,864.0,0.0075
HKY_high_75_250_NJ,NJ,0.9863,-0.0264,75.0,864.0,0.0182
HKY_high_75_250_UPGMA,UPGMA,0.9863,0.0231,75.0,864.0,0.0068
HKY_high_75_50_ML,ML,0.9589,-0.0769,75.0,143.0,0.0208
HKY_high_75_50_NJ,NJ,0.9863,-0.0463,75.0,143.0,-0.0082
HKY_high_75_50_UPGMA,UPGMA,0.9863,-0.0731,75.0,143.0,-0.0151
HKY_high_75_500_ML,ML,0.9863,0.1534,75.0,1585.0,0.0194
HKY_high_75_500_NJ,NJ,0.9726,-0.0942,75.0,1585.0,-0.0412
HKY_high_75_500_UPGMA,UPGMA,0.9726,-0.0881,75.0,1585.0,0.0079
HKY_low_100_100_ML,ML,0.2959,0.4542,100.0,100.0,0.4725
HKY_low_100_100_MP,MP,0.102,0.5624,100.0,100.0,0.7891
HKY_low_100_100_NJ,NJ,0.102,0.5624,100.0,100.0,0.7891
HKY_low_100_100_UPGMA,UPGMA,0.1429,0.6087,100.0,100.0,0.7766
HKY_low_100_1000_ML,ML,0.0,0.894,100.0,1000.0,0.9738
HKY_low_100_1000_NJ,NJ,0.0,0.5824,100.0,1000.0,0.8402
HKY_low_100_1000_UPGMA,UPGMA,0.0,0.5822,100.0,1000.0,0.846
HKY_low_100_250_ML,ML,0.0306,0.8014,100.0,250.0,0.9213
HKY_low_100_250_MP,MP,0.0306,0.5703,100.0,250.0,0.811
HKY_low_100_250_NJ,NJ,0.0306,0.5703,100.0,250.0,0.811
HKY_low_100_250_UPGMA,UPGMA,0.0306,0.5747,100.0,250.0,0.8265
HKY_low_100_50_ML,ML,0.5306,0.3569,100.0,50.0,0.5598
HKY_low_100_50_MP,MP,0.2959,0.5583,100.0,50.0,0.6671
HKY_low_100_50_NJ,NJ,0.2959,0.5583,100.0,50.0,0.6671
HKY_low_100_50_UPGMA,UPGMA,0.3367,0.571,100.0,50.0,0.703
HKY_low_100_500_ML,ML,0.0102,0.8356,100.0,500.0,0.9372
HKY_low_100_500_NJ,NJ,0.0102,0.6101,100.0,500.0,0.8127
HKY_low_100_500_UPGMA,UPGMA,0.0,0.6081,100.0,500.0,0.8257
HKY_low_10_100_ML,ML,0.0,0.8879,10.0,100.0,0.9578
HKY_low_10_100_MP,MP,0.0,0.8779,10.0,100.0,0.9568
HKY_low_10_100_NJ,NJ,0.0,0.8779,10.0,100.0,0.9568
HKY_low_10_100_UPGMA,UPGMA,0.0,0.9054,10.0,100.0,0.9736
HKY_low_10_1000_ML,ML,0.0,0.9634,10.0,1000.0,0.9932
HKY_low_10_1000_MP,MP,0.0,0.8707,10.0,1000.0,0.9937
HKY_low_10_1000_NJ,NJ,0.0,0.8707,10.0,1000.0,0.9937
HKY_low_10_1000_UPGMA,UPGMA,0.0,0.8757,10.0,1000.0,0.9962
HKY_low_10_250_ML,ML,0.0,0.8369,10.0,250.0,0.9542
HKY_low_10_250_MP,MP,0.0,0.7754,10.0,250.0,0.9489
HKY_low_10_250_NJ,NJ,0.0,0.7754,10.0,250.0,0.9489
HKY_low_10_250_UPGMA,UPGMA,0.0,0.8192,10.0,250.0,0.9782
HKY_low_10_50_ML,ML,0.125,0.4617,10.0,50.0,0.8443
HKY_low_10_50_MP,MP,0.125,0.4707,10.0,50.0,0.8464
HKY_low_10_50_NJ,NJ,0.125,0.4707,10.0,50.0,0.8464
HKY_low_10_50_UPGMA,UPGMA,0.125,0.6541,10.0,50.0,0.9537
HKY_low_10_500_ML,ML,0.0,0.9485,10.0,500.0,0.9797
HKY_low_10_500_MP,MP,0.0,0.8274,10.0,500.0,0.9795
HKY_low_10_500_NJ,NJ,0.0,0.8274,10.0,500.0,0.9795
HKY_low_10_500_UPGMA,UPGMA,0.0,0.822,10.0,500.0,0.9868
HKY_low_20_100_ML,ML,0.1111,0.7887,20.0,100.0,0.8094
HKY_low_20_100_NJ,NJ,0.0556,0.7604,20.0,100.0,0.8779
HKY_low_20_100_UPGMA,UPGMA,0.0,0.7688,20.0,100.0,0.9411
HKY_low_20_1000_ML,ML,0.0,0.9561,20.0,1000.0,0.9856
HKY_low_20_1000_NJ,NJ,0.0,0.8649,20.0,1000.0,0.9783
HKY_low_20_1000_UPGMA,UPGMA,0.0,0.8691,20.0,1000.0,0.9865
HKY_low_20_2000_ML,ML,0.0,0.9749,20.0,2000.0,0.9947
HKY_low_20_2000_NJ,NJ,0.0,0.8608,20.0,2000.0,0.9873
HKY_low_20_2000_UPGMA,UPGMA,0.0,0.8621,20.0,2000.0,0.9917
HKY_low_20_250_ML,ML,0.0,0.8108,20.0,250.0,0.9345
HKY_low_20_250_NJ,NJ,0.0,0.8028,20.0,250.0,0.9529
HKY_low_20_250_UPGMA,UPGMA,0.0,0.8099,20.0,250.0,0.9719
HKY_low_20_50_ML,ML,0.1111,0.7465,20.0,50.0,0.8794
HKY_low_20_50_NJ,NJ,0.1667,0.6909,20.0,50.0,0.8733
HKY_low_20_50_UPGMA,UPGMA,0.1667,0.7408,20.0,50.0,0.9257
HKY_low_20_500_ML,ML,0.0,0.9241,20.0,500.0,0.9805
HKY_low_20_500_NJ,NJ,0.0,0.8749,20.0,500.0,0.9738
